序号,编号,ATA章节号,来源,维修描述,备注,基准h,最小值h,最大值h,基准t,最小值t,最大值t,基准类型d,基准d,偏差类型d,最小值d,最大值d,基准e,最小值e,最大值e
1,Y5B（D）004Afj50,,维护大纲及发动机维护说明,50飞行小时定期检查,,50,,,,,,,,,,,,,
2,Y5B（D）004Bfdj50,,维护大纲及发动机维护说明,50发动机小时定期检查,,,,,,,,,,,,,50,,
3,Y5B（D）005Afj100,,维护大纲及发动机维护说明,100飞行小时定期检查,,100,,,,,,,,,,,,,
4,Y5B（D）005Bfdj100,,维护大纲及发动机维护说明,100发动机小时定期检查,,,,,,,,,,,,,100,,
5,Y5B（D）006Afj200,,维护大纲及发动机维护说明,200飞行小时定期检查,,200,,,,,,,,,,,,,
6,Y5B（D）006Bfdj200,,维护大纲及发动机维护说明,200发动机小时定期检查,,,,,,,,,,,,,200,,
7,Y5B（D）300ql,,维护大纲及发动机维护说明,300起落检查,,,,,300,,,,,,,,,,
8,Y5B（D）900ql,,维护大纲及发动机维护说明,900起落检查,,,,,900,,,,,,,,,,
9,Y5B（D）007Afj400,,维护大纲及发动机维护说明,400飞行小时定期检查,,400,,,,,,,,,,,,,
10,Y5B（D）007Bfdj400,,维护大纲及发动机维护说明,400发动机小时定期检查,,,,,,,,,,,,,400,,
11,Y5B（D）008Afj500,,维护大纲及发动机维护说明,500飞行小时定期检查,,500,,,,,,,,,,,,,
12,Y5B（D）008Bfdj500,,维护大纲及发动机维护说明,500发动机小时定期检查,,,,,,,,,,,,,500,,
13,Y5B（D）010nj,,其他,年度检查,,,,,,,,年,1,,,,,,
14,Y5B（D）009Bdx,,维护大纲及发动机维护说明,"换季维修工作（冬转夏）
",,,,,,,,年,1,,,,,,
15,Y5B（D）009Axd,,维护大纲及发动机维护说明,"换季维修工作（夏转冬）
",,,,,,,,年,1,,,,,,